a,b,c
2,94,96
34,2,36
18,47,65
94,83,185
70,61,131
58,17,75
23,58,81
76,14,90
45,60,105
9,85,94
34,82,116
62,20,82
51,49,100
3,97,100
37,38,81
17,98,115
88,88,176
11,55,66
12,80,92
13,6,21
47,59,106
15,61,82
93,73,166
95,66,161
91,76,167
96,95,191
27,91,118
35,69,104
28,20,48
90,95,185
88,33,121
25,68,93
29,47,76
16,77,93
64,95,159
96,60,152
55,56,111
30,35,65
36,35,71
22,12,34
39,99,129
34,84,118
47,78,125
76,74,150
48,51,99
88,89,177
16,8,24
12,89,101
50,14,64
39,56,95
90,55,145
35,44,74
53,2,55
28,19,47
30,46,76
98,33,131
46,73,119
74,11,85
33,55,93
86,36,122
37,33,70
68,59,127
21,36,57
61,98,159
44,54,98
64,45,109
22,32,54
79,67,146
52,93,145
75,14,89
42,23,65
72,79,151
89,32,121
99,89,188
10,45,62
60,23,83
76,66,142
14,42,56
41,3,44
73,91,164
57,94,151
90,54,144
53,84,137
19,62,81
96,74,161
74,81,155
50,96,146
33,68,101
20,32,52
98,29,127
3,83,86
80,67,147
27,10,37
3,86,89
30,71,101
49,55,104
65,29,94
88,97,185
58,74,132
1,35,36
