a,b,c
7,25,30.200091005267648
20,7,27.313750810893644
15,9,23.538413621078597
11,24,31.95424572976287
8,1,8.557047745081821
21,12,31.32938201473477
7,8,15.588912818519363
19,24,44.825527073350194
23,11,31.60699112368312
11,19,32.986442910293654
11,17,26.693973679941596
24,8,35.05033571732898
21,3,23.57297766392751
4,3,6.3462710260607675
8,1,8.721128246448028
24,5,29.779237799267907
3,10,13.469834174042393
22,7,29.179420583239388
21,9,29.68669898743855
2,7,9.09520756032839
24,9,33.611798377603996
12,8,18.32341330533086
6,12,17.530756041821057
2,2,3.793727950621941
21,1,23.33381492807154
1,16,16.89902215711653
12,23,38.3839619862639
22,23,44.089419982000976
12,24,38.27830948717956
25,5,31.790070749907308
17,3,18.602870175861717
10,12,22.036074617659164
16,8,24.939901472596233
15,22,39.651855155621526
15,3,17.373452058726784
19,1,18.880964190262194
12,3,15.633448597314052
23,5,29.733205858382405
20,15,33.940661911042106
25,14,35.850177098513086
3,3,6.528627917387524
5,1,5.877086425305027
19,5,24.085206482531902
7,23,32.02626063544397
21,14,36.229830819274966
9,7,16.75269158157047
7,9,15.069029186360684
18,15,33.27355662726194
4,15,19.743980717511313
25,10,33.0998501525811
14,13,25.244756606318056
18,19,40.56804574063782
9,7,16.053234852067245
21,17,36.18230172871111
2,20,24.183516278934867
20,4,26.23401288618621
15,5,20.23317381442839
7,23,32.29581805913604
12,7,17.817087011697243
8,13,20.071259680887163
15,15,31.20214697983663
3,11,14.970651198267257
14,4,19.282767450761135
17,13,29.42704876273314
4,7,11.853094217274112
18,19,39.59687052087959
8,22,32.613809965325686
4,2,6.342408781336732
2,10,12.405571811314148
6,13,19.306609161458525
22,25,45.799458005680385
10,21,33.72882734323823
4,6,10.947327673510634
22,12,32.53066262821476
18,12,28.83218316206636
12,20,31.90792802295185
2,11,12.865902771764244
10,23,36.26341925323142
4,25,27.120366465528605
14,7,18.975916527185188
16,1,16.979238631623677
15,1,14.972232669508251
8,25,32.118693978246874
14,25,40.90453007984119
23,20,44.90008334856831
25,13,36.54126201807816
8,9,17.144636783886657
21,3,24.042307568826047
16,7,23.627130043655114
13,6,18.05175491070122
18,8,26.467328407314827
15,9,26.29868571972004
21,5,25.931059195389167
24,1,27.03049393859277
25,19,43.422670416491776
13,10,22.310360675395508
9,12,21.609434120528373
15,24,40.31760766537217
13,15,30.03933836440266
1,22,21.758852233911153
