a,b,sum,is_wrong
52,60,112,False
93,41,134,False
15,29,44,False
72,15,95,True
61,45,106,False
21,65,86,False
83,89,172,False
87,71,150,True
75,9,84,False
75,88,167,True
88,1,89,False
24,8,32,False
3,88,83,True
22,63,82,True
53,11,72,True
2,81,83,False
88,8,96,False
30,35,65,False
38,35,73,False
2,33,35,False
64,5,75,True
60,41,101,False
21,28,52,True
33,7,40,False
76,73,158,True
58,72,130,False
22,12,41,True
89,34,120,True
49,33,82,False
91,48,134,True
59,23,77,True
42,62,104,False
92,88,180,False
60,37,97,False
80,99,177,True
15,44,59,False
62,86,148,False
62,91,153,False
47,35,82,False
62,65,120,True
51,99,152,True
55,47,106,True
64,78,134,True
3,3,6,False
51,1,61,True
7,5,2,True
21,90,111,False
73,14,87,False
39,27,66,False
18,9,27,False
4,79,83,False
89,15,104,False
60,90,150,False
14,42,56,False
9,77,86,False
90,51,141,False
53,63,109,True
2,96,98,False
84,52,136,False
92,96,188,False
60,4,70,True
71,94,165,False
44,23,57,True
8,15,13,True
47,43,83,True
35,29,60,True
78,36,114,False
81,13,94,False
36,32,68,False
50,71,121,False
4,59,63,False
2,86,88,False
6,28,44,True
54,66,112,True
4,42,43,True
54,45,99,False
93,62,155,False
63,57,126,True
18,6,24,False
90,28,118,False
44,28,72,False
34,44,73,True
74,84,158,False
62,30,92,False
14,62,76,False
95,75,170,False
48,92,144,True
15,89,104,False
72,62,134,False
78,97,181,True
87,1,88,False
62,27,89,False
40,62,102,False
85,77,162,False
80,3,83,False
82,70,152,False
53,72,125,False
24,27,42,True
26,9,35,False
89,62,161,True
