a,b,c
51,51,102
91,37,128
68,69,137
91,78,169
14,54,68
31,46,77
62,45,107
55,55,110
25,12,44
37,64,101
91,54,145
77,6,83
16,81,97
59,70,129
45,93,138
8,80,88
15,75,90
14,98,112
36,21,57
55,85,140
23,23,46
71,49,120
6,47,53
51,94,145
85,95,180
14,62,76
94,23,117
29,97,123
14,9,23
53,57,110
56,43,99
90,60,150
65,37,102
81,79,165
89,94,183
70,35,105
59,24,73
83,32,115
44,52,87
36,9,45
93,22,115
59,21,80
85,26,111
96,34,130
2,49,51
36,10,46
58,64,122
18,84,102
23,15,35
21,60,81
66,60,126
60,7,67
24,62,86
26,98,124
68,60,128
11,80,91
74,27,101
89,88,177
100,90,190
54,18,72
25,89,114
98,26,124
14,66,80
54,79,138
78,32,110
66,38,104
39,73,112
47,16,63
73,69,142
54,2,56
81,7,88
69,27,96
59,23,82
79,72,151
31,74,105
34,95,129
65,97,162
41,79,120
43,81,124
16,74,90
25,85,110
88,56,144
77,54,131
20,44,64
4,40,44
32,47,79
46,60,106
85,75,160
25,24,49
55,72,127
1,30,40
88,1,89
69,94,163
74,66,140
39,26,65
41,66,107
76,89,165
97,58,155
98,36,134
17,7,24
