N1,N2,Sum
38,56,104
34,61,95
5,99,104
40,44,94
27,78,105
82,68,150
73,41,114
2,51,53
99,83,182
66,56,122
88,69,167
67,86,153
54,48,102
66,5,71
97,83,180
24,93,117
11,63,74
85,34,119
22,43,65
44,71,123
10,93,103
59,50,109
74,100,179
3,25,28
76,12,88
81,47,128
2,46,45
52,69,121
65,93,158
8,82,90
37,64,101
98,81,179
93,30,123
70,62,132
23,20,43
69,57,134
97,60,157
6,2,8
18,59,77
25,3,28
33,46,79
88,35,123
56,82,138
54,1,55
14,80,86
66,46,112
91,12,103
11,56,57
69,49,118
10,70,80
89,82,171
52,4,56
42,34,86
5,97,102
72,43,115
54,45,89
82,82,164
21,54,75
9,92,101
87,19,106
48,86,134
31,96,127
11,81,92
8,98,106
67,50,120
19,84,103
99,38,137
100,50,150
48,17,65
69,44,105
81,22,103
76,50,126
56,8,59
59,86,145
3,45,48
58,95,153
95,93,188
92,86,178
58,39,97
55,100,155
4,21,25
67,42,104
44,65,109
14,70,89
29,73,102
44,12,56
35,65,100
32,27,59
42,34,76
51,6,57
65,11,76
26,65,91
26,98,124
3,25,28
35,73,108
30,11,41
77,41,118
11,44,55
71,69,140
18,69,87
18,62,80
64,94,158
51,100,151
4,33,37
92,74,166
63,44,107
51,29,80
65,17,82
79,82,161
1,77,78
78,64,142
44,90,134
75,16,91
89,7,96
47,59,106
47,86,133
54,41,95
46,28,74
99,58,157
44,97,141
25,24,49
49,8,57
54,49,103
65,34,99
23,72,95
49,48,89
38,16,54
34,65,99
78,42,120
8,49,57
7,76,83
50,39,89
14,60,74
74,98,172
91,42,133
32,83,115
58,35,103
73,74,152
32,89,121
59,65,124
74,36,110
44,7,51
24,16,40
3,55,58
85,64,149
94,17,111
62,69,131
6,61,67
70,19,89
42,48,90
29,77,106
5,60,65
65,77,142
100,37,137
91,75,166
2,42,44
94,50,144
30,89,119
9,33,42
37,22,59
54,46,100
55,6,51
64,87,151
22,26,48
6,35,41
68,22,90
98,95,193
68,25,93
39,64,103
60,29,89
37,68,97
14,57,71
79,70,152
25,67,92
9,82,99
53,58,111
15,8,23
73,56,129
98,84,182
56,67,123
46,20,66
64,18,82
25,28,53
31,5,36
32,27,59
10,52,62
4,2,6
53,84,137
42,71,113
4,6,10
32,94,126
56,90,146
38,24,62
39,15,57
86,83,174
28,66,94
4,96,100
47,20,67
60,29,89
54,29,83
66,85,151
56,51,107
72,25,97
50,10,60
64,6,70
37,18,55
61,94,155
93,14,107
17,16,43
46,71,117
79,3,82
57,67,124
46,37,83
47,28,75
50,7,57
14,66,80
97,13,110
76,86,162
42,95,137
11,100,111
86,27,113
50,24,74
54,17,71
61,18,69
21,12,33
43,5,48
13,19,32
29,59,88
56,26,82
85,52,127
8,20,28
15,60,75
90,12,102
18,86,104
6,46,52
57,27,84
31,31,62
56,44,100
86,19,105
12,87,99
2,38,40
42,86,128
52,45,97
30,8,38
8,71,79
9,15,24
32,37,69
31,17,48
72,1,73
78,99,177
83,70,153
34,54,88
72,48,120
48,81,129
17,54,71
5,78,83
38,45,83
41,89,130
1,45,46
65,98,163
1,83,84
38,11,49
49,93,142
24,79,103
42,57,99
14,94,108
77,96,173
69,26,95
52,82,134
87,10,97
25,27,52
93,46,139
55,100,155
62,37,99
84,71,150
50,4,54
34,94,128
4,98,102
81,87,168
21,100,121
25,47,72
24,13,37
18,92,110
78,13,91
35,16,51
10,47,57
8,33,41
47,17,67
53,12,65
80,34,114
67,71,138
16,86,102
69,16,85
43,37,80
82,98,180
85,40,125
57,31,88
1,12,13
15,80,95
13,99,112
