a,b,c
52,26,78
93,89,182
15,60,75
72,41,130
61,29,90
21,15,36
83,45,128
87,65,152
75,89,164
75,71,146
88,9,97
100,88,188
24,1,25
3,8,5
22,88,95
53,63,116
2,11,13
88,81,162
30,8,38
38,35,73
2,35,37
64,33,97
60,5,65
21,41,62
33,28,61
76,7,83
58,73,131
22,72,94
89,12,86
49,34,83
91,33,124
59,48,88
42,23,65
92,62,154
60,88,148
80,37,99
15,99,114
62,44,106
62,86,148
47,91,138
62,35,97
51,65,116
55,99,154
64,47,111
3,78,81
51,3,54
7,1,8
21,5,26
73,90,163
39,14,53
18,27,45
4,9,13
89,79,168
60,15,75
14,90,104
9,42,51
90,77,167
53,51,104
2,63,65
84,96,180
92,52,144
60,96,156
71,4,75
44,94,138
8,23,31
47,15,62
35,43,78
78,29,107
81,36,117
36,13,49
50,32,82
4,71,75
2,59,61
6,86,92
54,28,82
4,66,70
54,42,96
93,45,138
63,62,125
18,57,75
90,6,96
44,28,86
34,28,62
74,44,118
62,84,146
100,30,130
14,62,88
95,75,170
48,92,140
15,89,104
72,62,134
78,97,175
87,1,88
62,27,89
40,62,109
85,77,162
80,3,83
82,70,152
53,72,125
24,27,51
